name,lang,id,n,size(B),cpu-time(s),mem(KB),status,make-time(s),elapsed-time(s),threefour(s),onetwo(s),cpu-time-mean(s),cpu-time-variance,cpu-time-sample
binarytrees,sbcl,1,21,595,9.729,665079808,0,2.51,10.215,0,0,0,0,1
binarytrees,sbcl,1,21,595,9.582,665092096,0,2.51,9.604,0,0,0,0,1
binarytrees,sbcl,1,21,595,9.681,664944640,0,2.51,9.698,0,0,0,0,1
binarytrees,sbcl,1,21,595,9.648,664936448,0,2.51,9.667,0,0,0,0,1
binarytrees,sbcl,1,21,595,9.612,665083904,0,2.51,9.633,0,0,0,0,1
binarytrees,sbcl,1,21,595,9.624,665079808,0,2.51,9.644,0,0,0,0,1
binarytrees,sbcl,1,21,595,9.726,665079808,0,2.51,9.745,0,0,0,0,1
binarytrees,sbcl,1,21,595,9.663,665083904,0,2.51,9.684,0,0,0,0,1
binarytrees,sbcl,1,21,595,9.687,665104384,0,2.51,9.705,0,0,0,0,1
binarytrees,sbcl,1,21,595,9.647,665034752,0,2.51,9.664,0,0,0,0,1
binarytrees,sbcl,1,21,595,9.646,664850432,0,2.51,9.663,0,0,0,0,1
binarytrees,sbcl,1,21,595,9.614,664854528,0,2.51,9.638,0,0,0,0,1
binarytrees,python3,2,21,344,100.853,281669632,0,5.08,101.918,0,0,0,0,1
binarytrees,python3,2,21,344,101.339,281567232,0,5.08,101.401,0,0,0,0,1
binarytrees,python3,2,21,344,100.456,281731072,0,5.08,100.519,0,0,0,0,1
binarytrees,python3,2,21,344,101.037,281681920,0,5.08,101.1,0,0,0,0,1
binarytrees,python3,2,21,344,100.606,281796608,0,5.08,100.67,0,0,0,0,1
binarytrees,python3,2,21,344,101.074,281571328,0,5.08,101.136,0,0,0,0,1
binarytrees,python3,2,21,344,100.813,281563136,0,5.08,100.868,0,0,0,0,1
binarytrees,python3,2,21,344,101.24,281784320,0,5.08,101.307,0,0,0,0,1
binarytrees,python3,2,21,344,100.416,281829376,0,5.08,100.492,0,0,0,0,1
binarytrees,python3,2,21,344,101.051,281665536,0,5.08,101.116,0,0,0,0,1
binarytrees,python3,2,21,344,100.915,281706496,0,5.08,100.988,0,0,0,0,1
binarytrees,python3,2,21,344,100.823,281567232,0,5.08,100.891,0,0,0,0,1
binarytrees,php,4,21,786,81.983,1280434176,0,0,26.018,0,0,0,0,1
binarytrees,php,4,21,786,81.524,1280434176,0,0,24.982,0,0,0,0,1
binarytrees,php,4,21,786,81.424,1280368640,0,0,24.935,0,0,0,0,1
binarytrees,php,4,21,786,81.105,1280716800,0,0,25.066,0,0,0,0,1
binarytrees,php,4,21,786,81.375,1280561152,0,0,24.85,0,0,0,0,1
binarytrees,php,4,21,786,81.947,1280753664,0,0,24.839,0,0,0,0,1
binarytrees,php,4,21,786,81.463,1280479232,0,0,25.101,0,0,0,0,1
binarytrees,php,4,21,786,81.41,1280827392,0,0,24.736,0,0,0,0,1
binarytrees,php,4,21,786,81.395,1280745472,0,0,25.04,0,0,0,0,1
binarytrees,php,4,21,786,81.609,1280585728,0,0,24.761,0,0,0,0,1
binarytrees,php,4,21,786,81.192,1280634880,0,0,24.859,0,0,0,0,1
binarytrees,php,4,21,786,81.598,1280749568,0,0,24.892,0,0,0,0,1
binarytrees,icx,1,7,660,0.005,2940928,0,4.31,0.041,0,0,0,0,1
